aaa,9854285,7568,22,44
aab,9823231,8003,530,900
aac,9677573,10230,121,200
aad,9942213,8635,192,312
aae,9867428,9561,133,299
aaf,9933411,8074,160,247
aag,9919410,7861,105,210
aba,9883650,8649,39,60
abb,9859516,8673,136,289
abc,9979004,9689,119,158
abd,9902012,9586,147,288
abe,9947899,9785,204,335
abf,9926795,9899,104,217
abg,9932984,9444,582,913
aca,9979690,8981,36,73
acb,9876879,7640,207,342
acc,9918764,9035,148,249
acd,9963840,9926,102,234
ace,9676486,9484,32,56
acf,9766960,8480,110,316
acg,9993290,8521,154,241
ada,9735425,8609,39,194
adb,9873159,8540,58,96
adc,9886273,8119,9,28
add,9985958,8439,264,500
ade,9798904,7954,512,825
adf,9874039,9138,45,164
adg,9894936,9261,52,83
aea,9482676,9623,84,164
aeb,9832798,8107,6,17
aec,9533056,8138,188,334
aed,9971117,9876,24,113
aee,9607922,8889,314,559
aef,9861230,9392,148,200
aeg,9935814,10068,72,210
afa,9989687,9287,33,127
afb,9935462,9279,60,229
afc,9992325,10397,21,62
afd,9667462,8210,128,271
afe,9844241,9398,159,264
aff,9973614,8072,124,178
afg,9840396,10181,289,390
aga,9485266,10586,350,677
agb,9943016,9498,73,147
agc,9743063,9357,10,34
agd,9667844,9984,94,235
age,9644096,9616,66,119
agf,9807720,8616,8,23
agg,9988967,8116,322,519
baa,9994242,9816,88,213
bab,9668407,8926,139,334
bac,9708232,10089,90,148
bad,9753074,7405,97,189
bae,9901674,8942,118,303
baf,9617148,7654,244,407
bag,9668285,9117,45,203
bba,9846699,8879,39,135
bbb,9501136,9846,49,69
bbc,9958581,8473,157,258
bbd,9955717,8267,100,172
bbe,9762471,9339,31,87
bbf,9920506,8275,118,213
bbg,9710921,8773,5,7
bca,9716863,10696,22,81
bcb,9857091,8104,156,272
bcc,9589569,9442,12,39
bcd,9966782,8798,67,245
bce,9887808,8239,227,375
bcf,9889175,8813,172,287
bcg,9989538,9883,6,10
bda,9713389,10143,13,36
bdb,9663418,9313,146,261
bdc,9879853,7858,226,401
bdd,9916006,8989,185,349
bde,9982700,9288,63,189
bdf,9535540,8649,29,60
bdg,9933150,7971,263,525
bea,9943801,8340,119,231
beb,9941922,8962,191,315
bec,9857917,9989,121,234
bed,9896606,9703,20,84
bee,9954738,9428,67,144
bef,9786060,8492,48,75
beg,9839628,8454,206,305
bfa,9961178,9595,53,155
bfb,9992548,7440,23,51
bfc,9879369,9327,128,206
bfd,9756242,8495,400,689
bfe,9807391,8701,35,87
bff,9978043,9420,297,445
bfg,9872769,9123,113,201
bga,9603158,10586,148,258
bgb,9829989,8775,171,263
bgc,9835012,9210,87,163
bgd,9834771,9493,125,289
bge,9906600,9404,230,364
bgf,9796034,11759,16,51
bgg,9885759,8907,9,35
caa,9997263,8007,149,288
cab,9912694,8453,157,276
cac,9901420,7976,6,20
cad,9745257,8659,182,287
cae,9896031,10324,41,87
caf,9793407,8049,116,286
cag,9937424,9026,252,423
cba,9636792,9855,250,346
cbb,9985063,8407,136,264
cbc,9522011,9144,355,678
cbd,9942839,7566,97,175
cbe,9967083,8015,75,200
cbf,9915445,10210,100,228
cbg,9828088,8950,80,179
cca,9978380,9556,162,252
ccb,9885921,8754,175,318
ccc,9719942,8103,14,44
ccd,9867976,7516,98,182
cce,9673202,9105,79,228
ccf,9521921,9989,6,18
ccg,9835361,7733,127,182
cda,9924837,8475,71,203
cdb,9927306,8073,192,376
cdc,9965908,9783,267,436
cdd,9718336,8167,221,486
cde,9969859,7954,179,296
cdf,9785014,7221,69,98
cdg,9623531,8924,76,176
cea,9896121,10132,251,524
ceb,9622341,9676,220,368
cec,9423191,6948,267,540
ced,9943206,8566,5,10
cee,9709811,9429,45,97
cef,9682236,7592,76,158
ceg,9993694,8506,230,306
cfa,9780156,7754,47,164
cfb,9866255,8271,11,32
cfc,9624358,7155,220,314
cfd,9475916,8434,10,21
cfe,9918702,7377,344,517
cff,9895831,9791,67,115
cfg,9997644,8866,9,30
cga,9926854,8609,60,109
cgb,9405084,9214,38,109
cgc,9360075,9857,376,687
cgd,9831992,10036,142,259
cge,9744795,7223,470,722
cgf,9989818,8952,59,171
cgg,9753883,7819,78,128
daa,9904569,8719,77,139
dab,9725216,9161,210,403
dac,9974268,7424,113,172
dad,9956309,8845,164,248
dae,9728009,7832,91,152
daf,9610210,9902,45,97
dag,9936177,9385,178,296
dba,9973519,9604,342,766
dbb,9752712,9980,45,81
dbc,9700338,10972,68,121
dbd,9993279,9772,130,191
dbe,9840514,7770,246,489
dbf,9550641,8816,6,13
dbg,9703997,8398,93,175
dca,9901712,8458,76,263
dcb,9988690,8888,42,108
dcc,9544570,10516,202,323
dcd,9622604,8427,5,6
dce,9788713,10710,199,340
dcf,9842416,8958,217,303
dcg,9978580,10347,33,80
dda,9923467,8808,148,267
ddb,9995320,8729,70,127
ddc,9981140,9522,84,262
ddd,9716196,8992,253,379
dde,9453035,7822,72,151
ddf,9869103,9543,40,76
ddg,9349803,8324,61,151
dea,9987440,9572,121,236
deb,9896514,9846,454,1012
dec,9986708,8540,95,326
ded,9887008,9630,276,505
dee,9661803,8804,14,71
def,9864053,7519,327,473
deg,9935021,8028,108,201
dfa,9682362,8839,250,323
dfb,9918644,10685,15,57
dfc,9886674,8708,163,238
dfd,9838011,10103,282,491
dfe,9797046,9372,183,283
dff,9697977,9248,116,271
dfg,9960829,8025,55,174
dga,9937293,7658,65,145
dgb,9924508,9614,106,260
dgc,9962314,7915,241,442
dgd,9851191,8680,177,272
dge,9461065,8607,141,270
dgf,9799283,8646,76,188
dgg,9940613,8775,67,238
eaa,9975944,8165,13,37
eab,9948598,7852,323,473
eac,9723611,9205,126,204
ead,9721075,10226,334,592
eae,9808118,7830,210,367
eaf,9900914,9102,78,218
eag,9501280,10069,64,118
eba,9973177,7184,157,287
ebb,9959235,7864,157,240
ebc,9931374,9007,201,397
ebd,9993268,9138,229,418
ebe,9977440,8355,222,466
ebf,9871740,10203,105,298
ebg,9582624,7596,154,269
eca,9875896,7919,56,101
ecb,9695304,9339,25,48
ecc,9697088,9515,34,60
ecd,9711004,8438,44,118
ece,9863616,8674,333,633
ecf,9905111,8964,26,89
ecg,9980315,8442,196,334
eda,9877893,8743,139,258
edb,9993164,7504,215,381
edc,9998688,8986,53,117
edd,9904956,8265,143,297
ede,9853417,9564,224,389
edf,9926629,9345,68,145
edg,9780605,8531,234,335
eea,9963238,10117,132,274
eeb,9842942,8584,68,165
eec,9895290,9004,102,263
eed,9930710,7209,33,80
eee,9983122,9352,256,362
eef,9904974,7804,6,15
eeg,9918495,8435,87,124
efa,9807363,9140,183,282
efb,9985082,10105,92,250
efc,9717963,9095,379,660
efd,9975716,8994,45,86
efe,9937769,8417,9,42
eff,9914319,7457,175,297
efg,9856436,9109,137,211
ega,9830948,9502,259,377
egb,9797016,8675,182,416
egc,9855095,7698,20,79
egd,9901365,8969,77,165
ege,9573795,9029,30,47
egf,9949796,8546,30,60
egg,9881376,8403,192,408
faa,9965543,9410,129,202
fab,9995489,10433,193,334
fac,9977436,8427,72,199
fad,9833654,9436,85,165
fae,9970738,7994,122,252
faf,9937104,6981,164,332
fag,9985683,8120,43,155
fba,9826250,10045,262,435
fbb,9992284,9936,119,186
fbc,9835993,7895,77,125
fbd,9894637,9118,70,240
fbe,9996241,7581,113,184
fbf,9983371,8349,95,192
fbg,9999731,8292,200,336
fca,9807089,7426,190,363
fcb,9599255,9025,31,89
fcc,9787133,8969,65,202
fcd,9959586,8904,87,154
fce,9698144,8749,76,120
fcf,9807799,9849,15,40
fcg,9843280,8895,115,220
fda,9969199,9606,405,651
fdb,9918549,8691,5,8
fdc,9902482,9352,195,429
fdd,9998101,8200,224,411
fde,9922405,8800,55,140
fdf,9924046,9219,79,152
fdg,9937743,9456,106,212
fea,9914163,8871,139,322
feb,9862289,7700,11,26
fec,9652692,8287,72,146
fed,9953242,7983,8,25
fee,9863785,7646,141,264
fef,9973438,9167,340,585
feg,9812943,7090,34,68
ffa,9680220,9937,126,196
ffb,9708118,8294,133,250
ffc,9799563,10460,173,347
ffd,9866400,10494,112,189
ffe,9803737,9267,11,27
fff,9877678,9907,28,45
ffg,9456343,9517,111,282
fga,9992458,9831,43,114
fgb,9796956,9756,20,55
fgc,9873086,8328,59,96
fgd,9974188,9189,31,60
fge,9652699,7717,148,205
fgf,9891985,9701,261,336
fgg,9969742,8297,67,102
gaa,9880615,9479,33,74
gab,9443376,8104,88,150
gac,9974821,9324,99,252
gad,9886252,9278,16,50
gae,9650507,8637,121,183
gaf,9877358,8863,8,17
gag,9874210,8879,9,31
gba,9969961,9202,425,637
gbb,9974153,9112,7,17
gbc,9906263,8355,84,209
gbd,9839008,9107,461,697
gbe,9908264,8273,50,212
gbf,9991226,8775,33,74
gbg,9859699,11232,265,456
gca,9964257,10188,55,112
gcb,9695012,9528,63,86
gcc,9708847,8552,9,25
gcd,9803221,9399,209,405
gce,9850196,8784,209,350
gcf,9813417,8272,105,232
gcg,9360278,8036,62,102
gda,9918769,8914,208,300
gdb,9900927,10040,21,54
gdc,9862386,10288,107,171
gdd,9863166,8779,77,143
gde,9828893,9644,129,182
gdf,9953801,9491,95,281
gdg,9883821,8139,78,250
gea,9898724,8760,29,80
geb,9785746,8016,84,214
gec,9993977,6338,76,179
ged,9798929,9870,11,25
gee,9936009,10649,15,70
gef,9848469,10127,68,91
geg,9642813,9877,323,607
gfa,9733999,9586,326,550
gfb,9926791,9109,71,99
gfc,9939916,9602,12,41
gfd,9787376,9773,11,37
gfe,9438965,12382,139,278
gff,9982034,10435,102,182
gfg,9515112,9473,28,70
gga,9965974,8615,11,28
ggb,9688414,7594,260,493
ggc,9969628,9288,247,453
ggd,9802299,8362,298,449
gge,9453993,7701,260,357
ggf,9812763,8897,123,407
ggg,9929766,8885,31,77
